epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,197.69,4.2896,4.00857,2.52722,0.01392,0.01902,0.00834,0.00263,3.43643,3.74548,1.80293,0.0700397,0.00332892,0.00332892
2,371.002,3.04974,2.88172,1.59927,0.15539,0.04402,0.0289,0.01051,2.98838,2.72443,1.43962,0.0400068,0.00662927,0.00662927
3,542.171,2.57133,2.42292,1.40587,0.0971,0.09053,0.0557,0.02585,2.24245,2.19174,1.28653,0.00994078,0.00989663,0.00989663
4,701.837,2.35834,2.1976,1.30996,0.15265,0.11414,0.08447,0.04066,2.06271,1.95862,1.20106,0.0098515,0.0098515,0.0098515
5,867.594,2.23597,2.0408,1.26233,0.271,0.12927,0.09563,0.04739,2.01965,1.84526,1.17675,0.009802,0.009802,0.009802
6,1037.51,2.13726,1.93737,1.22767,0.20647,0.1481,0.1116,0.05648,1.89569,1.73002,1.13836,0.0097525,0.0097525,0.0097525
7,1207,2.0665,1.85416,1.20654,0.20107,0.15831,0.12153,0.06274,1.85555,1.66099,1.12088,0.009703,0.009703,0.009703
8,1378.2,2.01893,1.79423,1.18862,0.21243,0.16398,0.12754,0.06648,1.80993,1.60891,1.10661,0.0096535,0.0096535,0.0096535
9,1546.83,1.9703,1.73881,1.16797,0.2343,0.1748,0.13455,0.06845,1.80268,1.61872,1.09775,0.009604,0.009604,0.009604
10,1717.91,1.95684,1.70875,1.16068,0.32967,0.17692,0.14172,0.07431,1.76171,1.54779,1.08286,0.0095545,0.0095545,0.0095545
11,1888.76,1.93024,1.66971,1.15231,0.24789,0.18415,0.14904,0.07844,1.74371,1.52763,1.07818,0.009505,0.009505,0.009505
12,2060.64,1.90849,1.65081,1.14275,0.25755,0.1965,0.15791,0.08431,1.70707,1.47509,1.06814,0.0094555,0.0094555,0.0094555
13,2236.97,1.88495,1.6182,1.13388,0.24109,0.19612,0.15804,0.08437,1.70409,1.46775,1.06286,0.009406,0.009406,0.009406
14,2397.49,1.86032,1.59455,1.13029,0.24129,0.19706,0.16105,0.0855,1.68264,1.47068,1.06187,0.0093565,0.0093565,0.0093565
15,2576.74,1.84557,1.57564,1.1193,0.36239,0.20067,0.17088,0.09146,1.67276,1.41484,1.0563,0.009307,0.009307,0.009307
16,2752.34,1.83951,1.55774,1.11902,0.26152,0.20894,0.1719,0.09226,1.66806,1.41511,1.05171,0.0092575,0.0092575,0.0092575
17,2926.4,1.82843,1.54288,1.11299,0.28365,0.21199,0.18103,0.09768,1.64664,1.38567,1.04914,0.009208,0.009208,0.009208
18,3098.43,1.81557,1.52847,1.10699,0.27454,0.22175,0.18289,0.09861,1.62665,1.37229,1.0414,0.0091585,0.0091585,0.0091585
19,3272.96,1.808,1.51456,1.10515,0.38497,0.20656,0.18444,0.10047,1.61983,1.37108,1.04011,0.009109,0.009109,0.009109
20,3438.97,1.79795,1.50439,1.10184,0.28582,0.22197,0.189,0.10261,1.61665,1.34245,1.03727,0.0090595,0.0090595,0.0090595
21,3602.49,1.78307,1.48929,1.09648,0.29284,0.21999,0.19282,0.10464,1.61044,1.34085,1.03654,0.00901,0.00901,0.00901
22,3767.16,1.77207,1.47324,1.09356,0.31161,0.22501,0.19696,0.10719,1.60388,1.31588,1.02833,0.0089605,0.0089605,0.0089605
23,3936.11,1.77709,1.4862,1.09143,0.29475,0.22951,0.20027,0.10913,1.61337,1.34543,1.02831,0.008911,0.008911,0.008911
24,4098.25,1.78683,1.4785,1.08505,0.34685,0.22396,0.20224,0.11153,1.61601,1.33762,1.02289,0.0088615,0.0088615,0.0088615
25,4258.85,1.78316,1.47459,1.07648,0.31529,0.23382,0.20734,0.11335,1.61381,1.32232,1.02039,0.008812,0.008812,0.008812
26,4412.48,1.78546,1.48037,1.07996,0.29913,0.23015,0.20568,0.11229,1.61694,1.32276,1.01593,0.0087625,0.0087625,0.0087625
27,4565.5,1.77793,1.46597,1.07219,0.31472,0.23306,0.2115,0.11619,1.60106,1.30784,1.01216,0.008713,0.008713,0.008713
28,4718.4,1.76611,1.45112,1.07086,0.31262,0.2382,0.21424,0.11783,1.60138,1.30214,1.0096,0.0086635,0.0086635,0.0086635
29,4861.92,1.74564,1.43668,1.06273,0.31124,0.23465,0.21444,0.11627,1.59263,1.29675,1.00899,0.008614,0.008614,0.008614
30,4999.67,1.7562,1.43694,1.05903,0.32514,0.23926,0.21615,0.11899,1.58242,1.29368,1.00268,0.0085645,0.0085645,0.0085645
31,5141.59,1.75176,1.43171,1.05989,0.32907,0.24234,0.22081,0.1215,1.57908,1.28469,1.00284,0.008515,0.008515,0.008515
32,5289.34,1.74543,1.42891,1.05644,0.42824,0.23955,0.22227,0.12241,1.57876,1.28061,1.00142,0.0084655,0.0084655,0.0084655
33,5423.32,1.73015,1.41198,1.05449,0.34445,0.24414,0.2245,0.12391,1.56364,1.27169,0.99792,0.008416,0.008416,0.008416
34,5553.67,1.72764,1.41377,1.05179,0.34298,0.24392,0.22396,0.1237,1.5612,1.26703,0.99503,0.0083665,0.0083665,0.0083665
35,5684.64,1.73355,1.41527,1.05009,0.33113,0.25039,0.22666,0.12461,1.55983,1.26739,0.99512,0.008317,0.008317,0.008317
36,5826.61,1.7372,1.41789,1.05131,0.34433,0.24967,0.23081,0.12846,1.55683,1.25301,0.99489,0.0082675,0.0082675,0.0082675
37,5962.26,1.72181,1.39695,1.05042,0.34248,0.25276,0.2333,0.12895,1.54736,1.24528,0.99205,0.008218,0.008218,0.008218
38,6096.26,1.71534,1.39541,1.04704,0.40842,0.24961,0.23344,0.13017,1.54399,1.23363,0.99054,0.0081685,0.0081685,0.0081685
39,6225.23,1.71265,1.39037,1.0457,0.34064,0.25908,0.23676,0.13128,1.54532,1.23554,0.9891,0.008119,0.008119,0.008119
40,6356.04,1.70728,1.38205,1.04174,0.34059,0.25581,0.23889,0.13249,1.53795,1.23135,0.98864,0.0080695,0.0080695,0.0080695
41,6489.24,1.68969,1.36962,1.03986,0.35246,0.2571,0.24036,0.13286,1.53079,1.2202,0.98698,0.00802,0.00802,0.00802
42,6620.5,1.70588,1.37791,1.04272,0.35463,0.25512,0.23886,0.13347,1.53177,1.22374,0.98674,0.0079705,0.0079705,0.0079705
43,6749.88,1.68615,1.36359,1.03699,0.39341,0.25543,0.24404,0.13594,1.52131,1.21214,0.98377,0.007921,0.007921,0.007921
44,6880.63,1.69829,1.36779,1.03938,0.35082,0.25991,0.24416,0.13589,1.52078,1.20914,0.98342,0.0078715,0.0078715,0.0078715
45,7014.84,1.68653,1.36004,1.03818,0.35309,0.26402,0.24682,0.13744,1.51366,1.20138,0.98178,0.007822,0.007822,0.007822
46,7147.42,1.68655,1.35452,1.03634,0.36123,0.26145,0.24814,0.13769,1.51322,1.20075,0.98145,0.0077725,0.0077725,0.0077725
47,7274.7,1.67631,1.34616,1.03292,0.34711,0.26679,0.24816,0.13841,1.51116,1.19457,0.97927,0.007723,0.007723,0.007723
48,7405.26,1.67611,1.34411,1.03303,0.36244,0.26485,0.25044,0.13988,1.50713,1.19146,0.97945,0.0076735,0.0076735,0.0076735
49,7535.81,1.6748,1.33651,1.0306,0.37208,0.26526,0.25294,0.14175,1.50293,1.18388,0.97769,0.007624,0.007624,0.007624
50,7667.29,1.68591,1.34613,1.03303,0.36225,0.26683,0.25318,0.14123,1.50202,1.18294,0.97762,0.0075745,0.0075745,0.0075745
51,7798.94,1.66506,1.3359,1.03165,0.37307,0.26695,0.25506,0.14232,1.49542,1.17863,0.97621,0.007525,0.007525,0.007525
52,7933.96,1.66762,1.3276,1.02626,0.3765,0.26493,0.25701,0.14398,1.49544,1.17434,0.97503,0.0074755,0.0074755,0.0074755
53,8065.68,1.66416,1.32878,1.02785,0.36547,0.27059,0.25776,0.14456,1.49431,1.17353,0.97546,0.007426,0.007426,0.007426
54,8198.29,1.65743,1.32396,1.02805,0.37746,0.27088,0.26012,0.14516,1.48888,1.16412,0.97401,0.0073765,0.0073765,0.0073765
55,8331.11,1.65824,1.32087,1.02609,0.38867,0.26833,0.26148,0.14641,1.48645,1.16335,0.97271,0.007327,0.007327,0.007327
56,8462.16,1.65555,1.3231,1.02696,0.38001,0.27177,0.26252,0.1473,1.48171,1.15904,0.97114,0.0072775,0.0072775,0.0072775
57,8594.96,1.65134,1.31786,1.0227,0.3729,0.27426,0.26372,0.14818,1.48358,1.15692,0.97122,0.007228,0.007228,0.007228
58,8726.65,1.64972,1.31085,1.02233,0.37527,0.27535,0.26405,0.14915,1.4778,1.15246,0.97053,0.0071785,0.0071785,0.0071785
59,8856.07,1.64791,1.30546,1.01958,0.37734,0.277,0.26444,0.14894,1.47604,1.15116,0.97007,0.007129,0.007129,0.007129
60,8985.32,1.65341,1.30925,1.01964,0.3898,0.27818,0.2666,0.15034,1.47353,1.14702,0.96879,0.0070795,0.0070795,0.0070795
61,9113.62,1.6457,1.30807,1.02095,0.40927,0.27566,0.26723,0.15042,1.47125,1.14413,0.96833,0.00703,0.00703,0.00703
62,9237.15,1.638,1.29544,1.02021,0.3802,0.27587,0.26776,0.15079,1.47346,1.14365,0.96867,0.0069805,0.0069805,0.0069805
63,9364.9,1.63442,1.29262,1.01777,0.37518,0.27921,0.26814,0.15112,1.46741,1.13929,0.96709,0.006931,0.006931,0.006931
64,9489.92,1.63732,1.29647,1.02079,0.37512,0.28736,0.2694,0.15183,1.46654,1.13605,0.96691,0.0068815,0.0068815,0.0068815
