epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,124.018,4.21132,3.80608,2.35408,0.01584,0.05947,0.01378,0.00444,3.4802,3.2648,1.64811,0.0700397,0.00332892,0.00332892
2,244.423,3.03361,2.79807,1.57907,0.06884,0.07192,0.04201,0.01749,2.69026,2.54502,1.39124,0.0400068,0.00662927,0.00662927
3,373.069,2.56806,2.35232,1.39876,0.2373,0.09521,0.06729,0.03154,2.25154,2.16655,1.29539,0.00994078,0.00989663,0.00989663
4,493.754,2.34141,2.12334,1.30081,0.28214,0.12275,0.09631,0.04692,2.05642,1.89031,1.19563,0.0098515,0.0098515,0.0098515
5,629.316,2.20716,1.96926,1.24979,0.28633,0.12816,0.10178,0.05164,2.03202,1.89406,1.1849,0.009802,0.009802,0.009802
6,772.056,2.10138,1.86121,1.21427,0.21563,0.14052,0.10957,0.05576,1.90223,1.74143,1.14736,0.0097525,0.0097525,0.0097525
7,909.852,2.03302,1.78064,1.19296,0.21885,0.16579,0.12813,0.06551,1.85587,1.62986,1.11483,0.009703,0.009703,0.009703
8,1049.14,1.98201,1.72375,1.17418,0.23017,0.17588,0.13864,0.07247,1.78193,1.55127,1.09795,0.0096535,0.0096535,0.0096535
9,1189.89,1.93394,1.67265,1.15344,0.2483,0.18722,0.15288,0.07972,1.75372,1.53088,1.08245,0.009604,0.009604,0.009604
10,1329.69,1.92011,1.63745,1.14546,0.25298,0.19364,0.16321,0.08613,1.71953,1.46761,1.07375,0.0095545,0.0095545,0.0095545
11,1468.36,1.89222,1.60658,1.13588,0.27814,0.19773,0.16454,0.08717,1.71266,1.45777,1.06736,0.009505,0.009505,0.009505
12,1613.04,1.87031,1.58726,1.12748,0.2573,0.20877,0.16941,0.09016,1.68854,1.43178,1.06156,0.0094555,0.0094555,0.0094555
13,1751.04,1.84951,1.55823,1.11883,0.26158,0.20887,0.17308,0.09236,1.67528,1.40712,1.0514,0.009406,0.009406,0.009406
14,1885.81,1.82818,1.5338,1.11747,0.25226,0.2082,0.17709,0.09469,1.66148,1.42982,1.05026,0.0093565,0.0093565,0.0093565
15,2032.62,1.81257,1.51517,1.10545,0.2792,0.21349,0.18519,0.09934,1.64462,1.36638,1.04331,0.009307,0.009307,0.009307
16,2169.82,1.80269,1.49781,1.10463,0.28199,0.21718,0.18584,0.1005,1.63513,1.36061,1.03994,0.0092575,0.0092575,0.0092575
